owner,balance
8G2UcmRif4SVm4LWrjdtJVcSr5wA9g57fi12VjfyFzmw,2
GGnxKG33dNuD2TBRVTaP79ifeuGsDAKaSzyuwfQHWBrK,2
9BHXMWJv9bTEHsyd886XsbhKwvLpW5KXLKYLTt4bj4GN,2
79eBX6JjiubmTHRdGN7aA9ZixkVU6Usb6WShBjXugW5i,2
CuRmnvaK1YvxBBiSoGg4QxBVzeWzAwPmi6qWoR9VDkUj,2
Aovf81JcD9eCYpqSsPwnpcNMNgrAYYNvRquSVUMa3XtR,2
RaYETHorWtYWTL15E27Qs88k8d2eqj8GhSpJhcusJd5,2
DGMgGEq1XFwUArMGeaZVFe88v6pPCKf7sSmBpbyXJeA6,2
9Emcswfpk3KiZV9S341UdvGQDZ5nyNMLjM47rZ34sCYV,2
HwqJvwoNcqrAHWchcUpcoy3KpRRPcft7dySRiQPjhpjw,2
FJ8Qbhz4SSiUY8u48MgCMaE7VRnTMUCDeMJ3QDvPbHvx,2
BETXrP4humviSHUpyouHWXEjFP33Gxvykp442Yfb4mhn,2
Auru7Ych6qYBGttCZMaSeGcooLjddHRwZzdgS9zhRAVg,2
4KUwTVkudmxeU4yV4fpuSjWDPcYgkLYSiTqXg8hBf2Ji,2
5fWRLMNbE5sRJJHrMFXgQDX3oyRSJVTZ2cf89WKwyZHm,2
DDovVC5eZqbFr3ghPu3QsUEnWTGuj9b5sadqUQhH6WzN,2
9kW3jFtfJAJU9TUKamqbWzV2uSk4tSrDQtGBo8pjtw5E,2
5jvxdKuTt1g9vd6iJU36javv2cWhMM3eppv7GxRmEHjs,2
J8iR5BWGQ9ysDdtHhPCu1amiaCmx8QxZWsfST8YzemqF,2
ExxBDdogPmSWmyqiZWBgKhUFHeYbbEeGjT5tvgDYVn4R,2
Bs8KsTUTQ4Xg3mBNrgBEKNMkXH38Yq3884v4JnTqCgyE,2
Atj7HmKiSL2RnRdhyDZXBpK6zixuKLfQf6aca4g9N2s8,2
6LP15EwxhU4rVs7t3ncdguq1Tr1bm7dPYLxEFoPZJuPx,2
FcHkaLgPE5oXneQSojQNhFL4B1PHtBHxbwiityJQMFe7,2
9neAMGkyNv6VAy1YhgwF88aoiUijT9bZLddArP7xaoJd,2
94WdwQiVn7MmwjhHuE39t8KgVMutumKYKAB6YNAhqDd7,2
DxTtbnCiiTymDAUGJ9shUbcDBti4VVSSzVtNXzoEDtv,2
2Btc3xXKKfxHokVbEe5McyXLvN532XesFZQFxA66QZQy,2
4sSsJvu4NX4CBwn6pAMjN5HcwNujmKqp6akfAgo9Y3JC,2
HeGJi7kyWQdCmcXoirJibgCvRPawwTe31yqfT25icueS,2
3fqBzr3Y2NhdE1M3nTcQj4DL7nZtmcJXcAVJEZ9cRLN2,2
65GwDoZqSprsakJjGqCEkXCtjNjNU2GFufZ3AGn4cZpH,2
Dvv5nG77NNmmSg3QEWejwJzDpzpFR1yndXf2jvb4JXjp,2
7UoUSwhyMWrAwAi2DWscW3h22DiKKL1gYmD4HPSo26nU,2
BNajJPKQWeu6GqktWtnYBbkghrNMfCSpPHHdow8tzjmF,2
7hUr66ZJL3UQSvNwdgbYJ6DWQAmcnAt255HJeuwbBzBG,2
FcV4oj4MqGuNuVZXEAFZUQCQrZKRaFarrPhyfTag63nA,2
2ejvqZCNpEf9qDZooT9csDjdgCDUw5dAeXP5APTfH1nn,2
DDkvq4N255aX168WenZPvqvVCDd7tuaFc1BTMGkhVKtY,2
EVQXY7ndFEbRTFTwfvCYNgWAjvMdYXQjnEXkbwLxuguV,2
2rX94VndVFsxpnEU4o1WYbEs2VD8jbrqACDC2FghhTSB,2
DAsEDkok9kRMzm76euNDfcGD8jPVbWzE1tiS8a59PEnC,2
66E1X7wmgWPdhN8zepVvwVWJBCJ5TgaFWkhsswvsi1XY,2
6GtxKFYw1Ld5PuNFMejvdy4NvEu5uqwiszYRCCK6StZm,2
9PXNpUGS6jB5JypNTyotBn9uAFk8B8mik5YBVKmKd9Dn,2
jXRmLr65bGrxaEkrUi6crStXNps83L8Trd3nqhSWvXo,2
9C3ejVWB36ET1M8oNivxCBgfYQ1dQJCju8hi21tWrVam,2
7k8EimPdmHLSCHiTwbh4cSxPWBSFQsLt4kVzPQyH4UDo,2
5Zi6atk8EsDdQokYsdDyDWsD64tdL1M6FDVSz9gxznGV,2
5PN6bGvV79GGTU5pE92oG9cKxVSJEKtH2THTcW9GZaWj,2
E5sNMSMTSA68Y5NTnaD5ex4LC7GrGGBtSThLSnrK1mcB,2
FBynFbdUUEbXUHzpYueGUagtb9fL1LGPv77tzDnwwkfz,2
4svHF6BUMa8UT2Y4EBECkAHm8Sbgb2Fn9XyzpC4NA3oD,2
QnexPmvbaFEKfSqomvVJwnwX9uzzaZxdNzYxGgTQrnc,2
8EToP6WC48rVxvV9wMmeQZqrXZW6gSeYMetxhdF6ThYd,2
A8xUEyfDB9BkppeZKHDoadTQwQrLE2uNnTT4sMhsDtbB,2
79nRf9KrfEJ6tN5msPR4zygT4crGbihv4w9QBC7hz2ef,2
GBtbT9zZZXRqVLjCDef6r4abHKUocfPuAm1JnRxzAKtm,2
CNyC4NdfWKTMr1HtrZHiW3VFu4iLxtXtKTKduXjSC5p3,2
C5PEMnEWixP21Q33uswtzehZmVX9v5wyw7NP1af5u7Ze,2
7NvASmGPRJRbRnUs7fvBUhNxgCb4xNyrGcrHbV3VRGh5,2
6oMYH9nTRqStrEXo7Yv9Djk4qNKhuUAQrRH345FwUppf,2
ADk8kWiipSoLnELf2CTGY8Ra7dmPKjP7cdZ5UQYsD8FN,2
gqbiNFQN9R27bms7JFqDHnBxnRmsxvYhmkVaiHM4wF9,2
KT4mVA5ndUb63BLmWKH9t2jJKoejBtfqDhm4rS68jHs,2
3jseUiTyMm25AtR9s5uUxJdeJWdnEqPTEmcnnwoR6eQh,2
H4j8MYMf2CpTZ9NLHoDAsgEAoLSLw5KC8c8DduMS71Tu,2
GYKnKSatYvy88xyX8xmFHxB69CF9HfMSeSbj3FDAXCfG,2
HnFnE7zQH8s57b8ZTHsDU9gT2QYFsUi9R2WJzhhNBFcL,2
BJ25gvTcuajcgUQosZSE45Vura6QPDAgy4MTiBdWhuak,2
8PrKWtXtKETbm9XS1wbS1emeYqcLbTCrNMXTqms2uMm5,2
6K5zr9Nz5MHBUhPmFX246WNi1JFW6WxCWkKaJx45DUgr,2
4CwhMgqxDTp9dM5jnod3c4m7Z3F5yRuqoL3t7wZVhJk7,2
H9FVNRFXsvW73UWEGyJtHaohn32caqFiF3L47SB9LR8y,2
5DBf2xYDLX9pYrUyQcPvq4ABa9MLbnpGuzXHeiMMrgH1,2
7Zzkx9fxvG2GZPshBnMyYRcpdXRsvkctYN9qHVCREVrK,2
95UuFwjP7v5aXM3JaMGybUqwuTuLvnxo62WhYK9bnSRt,2
H4ZW5Lr4GzQDWi9yMrLQC1TBcffz8d9soD5fDkqWjqFS,2
FT8AgXmz8NYUxCeKPbjoPCeRpKNnjk8B5tR8F15Pb39X,2
2Au66mLHhNb21vXEKto4vgKyuZ3cK1SKFiJqznrZk6jq,2
CNuaruEc72iPPa8SPYYMdhTviSdq5EJwU2f6HStKcWBb,2
7vBETTB4NfkG446irbiY9njCKTiMBdtJ9iypLBieem5E,2
vZCujQJbFHSSSYkfE2DW5ro1wJyMz8ZL5NgDYcp9VXT,2
931oLqx34srCEhBr39ioBvyYaXnoacTQcHS2my5JMV4Y,2
EcV3pHd3TdbE1Q2rKNMnfP8LtpSR1f9tveXx4moxyVXE,2
HA9LP6viEDoHAHsKLqUhkVPr6hVfFWzph1GAXTUeV9MQ,2
FrSqJokjDJ65L29KVguJM5PbQtRaUuojm8Gdbq5CEtHc,2
cgNLXr4szAn1HUnbmYVfSfpmZFqSufLv3LhnZM41t2u,2
